Chemical_Group_Name,EC_No,CAS_No,Annex
"trisilver arsenite","232-048-5","7784-08-9",""
"trisodium 5-amino-3-[[4'-[(7-amino-1-hydroxy-3-sulphonato-2-naphthyl)azo][1,1'-biphenyl]-4-yl]azo]-4-hydroxynaphthalene-2,7-disulphonate","219-384-8","2429-73-4",""
"trisodium arsenate","236-682-3","13464-38-5",""
"trisodium arsenide","234-952-5","12044-25-6",""
"trisodium arsenite","236-681-8","13464-37-4",""
"tristrontium diarsenate","236-684-4","13464-68-1",""
"tristrontium diarsenide","254-407-5","39297-24-0",""
"tritylium hexafluoroarsenate","207-111-5","437-15-0",""
"trizinc diarsenide","234-486-2","12006-40-5",""
"vanadium(4+) diarsenate (1:1)","308-917-0","99035-51-5",""
"ytterbium arsenide","234-483-6","12006-12-1",""
"yttrium arsenide","235-507-8","12255-48-0",""
"zinc arsenate","236-683-9","13464-44-3",""
"zinc bis(pentachlorophenolate)","220-847-1","2917-32-0",""
"zinc diarsenide","234-956-7","12044-55-2",""
"zirconium arsenide","262-524-8","60909-47-9",""
