"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"107-05-1","2-123","3-Chloroprop-1-ene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-06-2","2-54","1,2-Dichloroethane","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-13-1","2-1513","Acrylonitrile","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-21-1","2-230","Ethylene glycol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-22-2","2-510","Oxalaldehyde","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"107-46-0","2-2956","Disiloxane, hexamethyl-","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"107-64-2","","N,N-Dimethyl-N,N-dioctadecan-1-ylammonium chloride","Priority Assessment Chemical Substances (PACSs)|||","O"
"108-05-4","2-728","Vinyl acetate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-10-1","2-542","Methyl isobutyl ketone","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-24-7","2-690","Acetic anhydride","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-38-3","3-3","m-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-38-3","3-60","m-Xylene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-39-4","4-57","m-Methylphenol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-39-4","3-499","m-Methylphenol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-42-9","3-194","3-chloroaniline","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"108-45-2","3-185","meta-Phenylenediamine","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-67-8","3-3427","1,3,5-Trimethylbenzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-67-8","3-7","1,3,5-Trimethylbenzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-88-3","3-60","Toluene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-88-3","3-2","Toluene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-90-7","3-31","Chlorobenzene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-94-1","3-2376","Cyclohexanone","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"108-95-2","3-481","Phenol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"109-55-7","2-158","N,N-Dimethylpropane-1,3-diyldiamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"109-59-1","2-410","2-Isopropoxyethanol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"109-86-4","2-405","2-Methoxyethanol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"109-99-9","5-53","Tetrahydrofuran","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"110-54-3","2-6","Hexane","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"110-82-7","3-2233","Cyclohexane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"110-91-8","5-859","Morpholine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"110-98-5","2-413","2-Propanol, 1,1'-oxydi-","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-42-2","2-302","2,2'-Iminodiethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-42-2","2-354","2,2'-Iminodiethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-76-2","2-407","2-Butoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-76-2","2-2424","2-Butoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-76-2","7-97","2-Butoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-82-0","2-798","Methyl dodecanoate","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"111-86-4","8-342","1-Octanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"111-86-4","2-185","1-Octanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"111-86-4","8-310","1-Octanamine","Priority Assessment Chemical Substances (PACSs)|","O"
"111-86-4","2-133","1-Octanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"111-86-4","2-176","1-Octanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"111-87-5","2-217","Octan-1-ol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"111-90-0","2-422","2-(2-Ethoxyethoxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"112-00-5","","Dodecyl(trimethyl)ammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"112-02-7","","Hexadecan-1-yl(trimethyl)ammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"112-03-8","","Trimethyl(octadecan-1-yl)ammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"112-07-2","2-740","2-Butoxyethyl acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"112-18-5","2-176","N,N-Dimethyldodecan-1-ylamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"112-30-1","2-217","Decan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"112-42-5","2-3704","Undecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"112-42-5","2-217","Undecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"112-53-8","2-3704","Dodecan-1-ol","Priority Assessment Chemical Substances (PACSs)||","O"
"112-53-8","2-217","Dodecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"112-70-9","2-217","1-Tridecanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"112-70-9","2-3704","1-Tridecanol","Priority Assessment Chemical Substances (PACSs)||","O"
"112-72-1","2-217","Tetradecan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"112-72-1","2-3704","Tetradecan-1-ol","Newly Announced Chemical Substances (notified by March 31, 2011)|Priority Assessment Chemical Substances (PACSs)||","O"
"112-90-3","2-176","9-Octadecen-1-amine, (9Z)-","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"112-90-3","8-310","9-Octadecen-1-amine, (9Z)-","Priority Assessment Chemical Substances (PACSs)|","O"
"112-90-3","8-342","9-Octadecen-1-amine, (9Z)-","Priority Assessment Chemical Substances (PACSs)|","O"
"112-90-3","2-133","9-Octadecen-1-amine, (9Z)-","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"112-90-3","2-185","9-Octadecen-1-amine, (9Z)-","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"115-29-7","","1,9,10,11,12,12-Hexachloro-5-oxo-4,6-dioxa-5lambda(4)-thiatricyclo[7.2.1.0(2,8)]dodec-10-ene","Class I specified chemical substance","O"
"115-32-2","4-226","2,2,2-Trichloro-1,1-bis(4-chlorophenyl)ethanol","Existing chemical substances|Class I specified chemical substance","O"
"117-81-7","3-1307","Bis(2-ethylhexan-1-yl) phthalate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"118-74-1","3-76","Perchlorobenzene","Existing chemical substances|Class I specified chemical substance","O"
"118-82-1","4-39","2,2',6,6'-Tetra-tert-butyl-4,4'-methylenediphenol","Existing chemical substances|Monitoring Chemical Substances","O"
"120-40-1","2-814","N,N-Bis(hydroxyethyl)dodecanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"120-40-1","2-827","N,N-Bis(hydroxyethyl)dodecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"120-40-1","2-2503","N,N-Bis(hydroxyethyl)dodecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"120-40-1","7-87","N,N-Bis(hydroxyethyl)dodecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"120-40-1","8-311","N,N-Bis(hydroxyethyl)dodecanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"120-51-4","3-1389","Benzyl benzoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"120-61-6","3-1328","Dimethyl terephthalate","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"120-80-9","3-543","Pyrocatechol","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"120-95-6","3-526","2,4-Di-tert-pentylphenol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"120-95-6","3-521","2,4-Di-tert-pentylphenol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"121-14-2","3-446","2,4-Dinitrotoluene","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"121-44-8","2-141","Triethylamine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"122-08-7","","Benzyl(trimethyl)ammonium methanolate","Priority Assessment Chemical Substances (PACSs)||","O"
"122-18-9","","N-Benzyl-N,N-dimethylhexadecan-1-aminium,chloride(1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"123-17-1","2-217","2,6,8-Trimethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"123-17-1","2-3704","2,6,8-Trimethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"123-31-9","3-543","Hydroquinone","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"123-68-2","2-759","Allyl hexanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"123-91-1","5-839","1,4-Dioxane","Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"124-22-1","2-133","Dodecan-1-amine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"124-22-1","8-342","Dodecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"124-22-1","8-310","Dodecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"124-22-1","2-185","Dodecan-1-amine","Priority Assessment Chemical Substances (PACSs)|","O"
"124-22-1","2-176","Dodecan-1-amine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"124-30-1","8-310","1-Octadecanamine","Priority Assessment Chemical Substances (PACSs)||","O"
"124-30-1","8-342","1-Octadecanamine","Priority Assessment Chemical Substances (PACSs)||","O"
"124-30-1","2-133","1-Octadecanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"124-30-1","2-185","1-Octadecanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"124-30-1","2-176","1-Octadecanamine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"124-40-3","2-134","Dimethylamine","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"126-92-1","2-1679","Sodium 2-ethylhexyl sulphate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"126-97-6","","Acetic acid, 2-mercapto-, compd. with 2-aminoethanol (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
